100
40 430
0 1 7.0
0 4 7.0
0 6 1.0
0 10 8.0
0 13 8.0
0 15 9.0
0 17 8.0
0 18 5.0
0 19 1.0
0 21 9.0
0 22 1.0
0 24 3.0
0 26 7.0
0 28 5.0
0 30 5.0
0 33 2.0
0 35 5.0
0 36 1.0
1 2 2.0
1 4 9.0
1 6 7.0
1 7 4.0
1 10 8.0
1 14 7.0
1 15 1.0
1 17 5.0
1 18 2.0
1 19 9.0
1 20 3.0
1 22 3.0
1 29 9.0
1 30 2.0
1 33 2.0
1 36 8.0
1 37 9.0
1 38 7.0
2 0 2.0
2 3 2.0
2 4 7.0
2 14 5.0
2 15 7.0
2 19 5.0
2 21 1.0
2 24 1.0
2 26 6.0
2 27 4.0
2 28 8.0
2 30 7.0
2 31 9.0
2 32 5.0
2 33 6.0
2 34 7.0
2 36 7.0
2 38 3.0
3 5 7.0
3 6 8.0
3 7 7.0
3 9 7.0
3 11 6.0
3 14 6.0
3 15 4.0
3 19 1.0
3 20 6.0
3 21 8.0
3 23 8.0
3 24 3.0
3 25 2.0
3 26 8.0
3 27 8.0
3 28 6.0
3 30 4.0
3 35 4.0
3 38 5.0
4 5 7.0
4 6 7.0
4 9 3.0
4 10 8.0
4 11 4.0
4 12 6.0
4 13 6.0
4 16 6.0
4 18 9.0
4 21 2.0
4 24 9.0
4 27 8.0
4 28 7.0
4 29 2.0
4 30 9.0
4 31 7.0
4 34 6.0
4 35 2.0
4 36 1.0
4 37 3.0
4 38 4.0
5 3 6.0
5 7 5.0
5 9 7.0
5 14 9.0
5 16 9.0
5 18 4.0
5 23 8.0
5 25 8.0
5 26 9.0
5 32 5.0
5 33 5.0
5 34 7.0
5 36 3.0
5 37 9.0
5 39 3.0
6 7 2.0
6 8 9.0
6 9 8.0
6 10 1.0
6 11 1.0
6 13 6.0
6 14 1.0
6 15 5.0
6 16 2.0
6 18 8.0
6 19 3.0
6 26 4.0
6 27 2.0
6 29 7.0
6 32 2.0
6 34 1.0
6 36 5.0
6 37 6.0
6 38 4.0
6 39 3.0
7 8 9.0
7 10 7.0
7 11 2.0
7 12 8.0
7 14 4.0
7 17 2.0
7 18 2.0
7 20 9.0
7 22 9.0
7 23 5.0
7 26 4.0
7 28 7.0
7 32 2.0
7 34 1.0
7 35 7.0
7 37 3.0
8 6 4.0
8 10 1.0
8 11 9.0
8 12 4.0
8 13 1.0
8 15 5.0
8 16 7.0
8 17 6.0
8 18 9.0
8 19 7.0
8 20 9.0
8 25 4.0
8 26 8.0
8 28 1.0
8 29 6.0
8 30 4.0
8 34 2.0
8 36 9.0
8 38 9.0
9 11 1.0
9 13 9.0
9 14 6.0
9 16 8.0
9 20 7.0
9 21 5.0
9 26 1.0
9 27 8.0
9 28 9.0
9 29 8.0
9 30 9.0
9 32 2.0
9 37 5.0
10 12 2.0
10 15 6.0
10 21 8.0
10 22 2.0
10 25 1.0
10 27 8.0
10 28 9.0
10 29 2.0
10 31 7.0
10 32 9.0
10 33 5.0
10 35 4.0
10 36 6.0
10 38 2.0
10 39 5.0
11 1 5.0
11 5 1.0
11 13 6.0
11 14 3.0
11 15 4.0
11 16 4.0
11 18 1.0
11 20 7.0
11 21 6.0
11 23 9.0
11 24 6.0
11 25 6.0
11 27 1.0
11 28 2.0
11 29 4.0
11 31 9.0
11 32 7.0
11 33 1.0
11 34 2.0
11 35 9.0
11 36 1.0
12 10 1.0
12 18 4.0
12 19 9.0
12 21 5.0
12 22 3.0
12 25 3.0
12 26 1.0
12 30 7.0
12 31 3.0
12 32 3.0
12 33 1.0
12 35 4.0
12 37 4.0
12 39 7.0
13 14 2.0
13 16 3.0
13 20 9.0
13 22 6.0
13 26 1.0
13 28 3.0
13 29 8.0
13 32 8.0
13 35 5.0
13 36 9.0
13 37 6.0
14 16 7.0
14 17 3.0
14 18 6.0
14 19 2.0
14 20 4.0
14 21 8.0
14 23 3.0
14 26 6.0
14 27 7.0
14 28 2.0
14 29 1.0
14 31 9.0
14 32 3.0
14 35 2.0
14 36 9.0
14 37 1.0
15 12 7.0
15 19 9.0
15 22 3.0
15 27 7.0
15 29 6.0
15 31 7.0
15 34 7.0
15 35 5.0
15 37 6.0
15 39 6.0
16 17 3.0
16 20 5.0
16 21 5.0
16 22 3.0
16 28 2.0
