100
11 41
0 1 5.0
0 8 1.0
1 2 4.0
1 5 2.0
1 6 8.0
1 7 2.0
1 8 5.0
1 10 5.0
2 0 2.0
2 4 2.0
2 6 9.0
2 7 2.0
2 9 8.0
3 4 2.0
3 5 1.0
3 6 7.0
3 7 3.0
3 8 3.0
3 10 8.0
4 3 6.0
4 7 4.0
4 9 4.0
5 4 3.0
5 6 4.0
5 8 9.0
5 9 4.0
6 0 6.0
6 5 2.0
6 7 6.0
6 9 2.0
6 10 4.0
7 6 9.0
7 8 6.0
7 9 8.0
7 10 9.0
8 1 5.0
8 9 7.0
8 10 7.0
9 8 3.0
9 10 4.0
10 3 6.0
9 30
0 1 3.0
0 2 3.0
0 4 9.0
0 5 6.0
0 6 4.0
0 7 9.0
0 8 9.0
1 2 7.0
1 4 2.0
2 0 5.0
2 3 9.0
2 5 2.0
2 7 8.0
2 8 5.0
3 2 7.0
3 4 7.0
3 6 2.0
3 7 5.0
3 8 7.0
4 3 1.0
4 5 1.0
4 6 7.0
4 7 1.0
4 8 3.0
5 1 8.0
5 7 8.0
6 8 8.0
7 5 2.0
7 6 7.0
8 7 5.0
10 27
0 1 4.0
0 3 3.0
0 7 7.0
0 9 6.0
1 2 8.0
1 3 8.0
1 7 1.0
2 0 2.0
2 6 6.0
2 7 9.0
2 9 5.0
3 2 1.0
3 6 5.0
4 6 4.0
4 7 2.0
4 9 7.0
5 6 7.0
5 7 1.0
5 8 5.0
5 9 7.0
6 3 2.0
6 8 2.0
7 5 1.0
7 8 7.0
7 9 2.0
8 4 5.0
9 8 3.0
25 180
0 1 3.0
0 5 9.0
0 6 7.0
0 7 8.0
0 9 9.0
0 10 9.0
0 11 1.0
0 12 9.0
0 15 5.0
0 17 3.0
0 18 2.0
0 21 3.0
0 22 6.0
0 24 9.0
1 2 1.0
1 4 8.0
1 5 2.0
1 6 9.0
1 7 2.0
1 9 5.0
1 11 7.0
1 12 3.0
1 16 6.0
1 19 1.0
1 20 5.0
1 21 8.0
1 23 8.0
2 0 8.0
2 3 5.0
2 4 2.0
2 6 4.0
2 8 8.0
2 9 1.0
2 11 7.0
2 13 3.0
2 16 1.0
2 17 6.0
2 19 9.0
2 21 9.0
2 22 4.0
2 23 2.0
2 24 6.0
3 2 7.0
3 6 8.0
3 7 5.0
3 9 2.0
3 10 4.0
3 14 7.0
3 15 2.0
3 17 2.0
3 18 2.0
3 19 1.0
3 20 4.0
3 21 1.0
3 23 3.0
3 24 7.0
4 3 6.0
4 5 6.0
4 7 3.0
4 9 7.0
4 10 3.0
4 11 5.0
4 12 3.0
4 15 9.0
4 17 9.0
4 19 9.0
4 20 6.0
4 21 3.0
4 23 6.0
4 24 5.0
5 4 9.0
5 11 1.0
5 12 3.0
5 14 1.0
5 15 6.0
5 16 2.0
5 17 3.0
5 18 9.0
5 19 9.0
5 20 9.0
5 22 7.0
5 24 2.0
6 5 3.0
6 8 3.0
6 11 7.0
6 14 1.0
6 15 3.0
6 18 6.0
6 19 8.0
6 21 3.0
6 23 8.0
7 8 4.0
7 10 5.0
7 11 4.0
7 12 5.0
7 14 6.0
7 17 1.0
7 18 3.0
7 23 5.0
7 24 4.0
8 9 9.0
8 11 5.0
8 14 3.0
8 15 6.0
8 16 9.0
8 17 3.0
8 18 6.0
8 19 2.0
8 20 7.0
8 21 2.0
8 22 9.0
9 12 3.0
9 13 5.0
