1
1024 16794
0 38 1.0
0 399 1.0
0 476 1.0
0 514 1.0
0 555 1.0
0 562 1.0
0 608 1.0
0 615 1.0
0 637 1.0
0 721 1.0
0 760 1.0
0 817 1.0
0 947 1.0
1 126 1.0
1 154 1.0
1 219 1.0
1 223 1.0
1 253 1.0
1 296 1.0
1 297 1.0
1 411 1.0
1 436 1.0
1 450 1.0
1 458 1.0
1 649 1.0
1 735 1.0
1 804 1.0
1 816 1.0
1 820 1.0
1 839 1.0
1 909 1.0
1 971 1.0
2 36 1.0
2 94 1.0
2 185 1.0
2 265 1.0
2 438 1.0
2 465 1.0
2 502 1.0
2 604 1.0
2 1021 1.0
3 4 1.0
3 26 1.0
3 61 1.0
3 281 1.0
3 321 1.0
3 458 1.0
3 491 1.0
3 643 1.0
3 752 1.0
3 776 1.0
3 879 1.0
3 938 1.0
3 973 1.0
3 996 1.0
4 3 1.0
4 50 1.0
4 74 1.0
4 84 1.0
4 201 1.0
4 373 1.0
4 381 1.0
4 408 1.0
4 465 1.0
4 484 1.0
4 530 1.0
4 541 1.0
4 571 1.0
4 593 1.0
4 793 1.0
4 844 1.0
4 858 1.0
4 867 1.0
4 914 1.0
4 1001 1.0
4 1004 1.0
5 46 1.0
5 52 1.0
5 65 1.0
5 119 1.0
5 234 1.0
5 246 1.0
5 444 1.0
5 453 1.0
5 469 1.0
5 656 1.0
5 669 1.0
5 709 1.0
5 768 1.0
5 781 1.0
5 795 1.0
5 893 1.0
5 912 1.0
5 992 1.0
5 1017 1.0
6 53 1.0
6 81 1.0
6 95 1.0
6 289 1.0
6 492 1.0
6 560 1.0
6 644 1.0
6 697 1.0
6 721 1.0
6 736 1.0
6 748 1.0
6 841 1.0
6 953 1.0
7 75 1.0
7 122 1.0
7 148 1.0
7 198 1.0
7 230 1.0
7 278 1.0
7 286 1.0
7 469 1.0
7 515 1.0
7 526 1.0
7 574 1.0
7 581 1.0
7 589 1.0
7 610 1.0
7 648 1.0
7 655 1.0
7 791 1.0
7 860 1.0
7 900 1.0
7 971 1.0
7 980 1.0
8 14 1.0
8 30 1.0
8 44 1.0
8 186 1.0
8 273 1.0
8 288 1.0
8 290 1.0
8 337 1.0
8 436 1.0
8 479 1.0
8 488 1.0
8 552 1.0
8 613 1.0
8 754 1.0
8 768 1.0
8 875 1.0
8 894 1.0
9 95 1.0
9 104 1.0
9 136 1.0
9 162 1.0
9 236 1.0
9 241 1.0
9 277 1.0
9 300 1.0
9 465 1.0
9 506 1.0
9 568 1.0
9 704 1.0
9 705 1.0
9 707 1.0
9 710 1.0
9 826 1.0
9 832 1.0
9 967 1.0
10 20 1.0
10 87 1.0
10 157 1.0
10 240 1.0
10 371 1.0
10 1000 1.0
10 1015 1.0
11 133 1.0
11 161 1.0
11 214 1.0
11 247 1.0
11 308 1.0
11 496 1.0
11 499 1.0
11 507 1.0
11 533 1.0
11 590 1.0
11 713 1.0
11 734 1.0
11 758 1.0
11 868 1.0
11 936 1.0
11 943 1.0
11 952 1.0
11 959 1.0
12 175 1.0
12 207 1.0
12 277 1.0
12 285 1.0
12 330 1.0
12 334 1.0
12 335 1.0
12 392 1.0
12 397 1.0
12 461 1.0
12 547 1.0
12 569 1.0
12 637 1.0
12 732 1.0
12 745 1.0
12 981 1.0
13 47 1.0
13 54 1.0
13 114 1.0
13 146 1.0
13 317 1.0
13 327 1.0
13 374 1.0
13 540 1.0
13 557 1.0
13 632 1.0
13 705 1.0
13 718 1.0
13 754 1.0
13 762 1.0
13 788 1.0
13 811 1.0
13 887 1.0
13 920 1.0
13 1006 1.0
14 8 1.0
14 123 1.0
14 148 1.0
14 243 1.0
14 288 1.0
14 337 1.0
14 371 1.0
14 457 1.0
14 495 1.0
14 552 1.0
14 696 1.0
14 854 1.0
14 884 1.0
14 889 1.0
14 903 1.0
14 1014 1.0
15 52 1.0
15 120 1.0
15 183 1.0
15 194 1.0
15 508 1.0
15 580 1.0
15 635 1.0
15 727 1.0
15 750 1.0
15 870 1.0
15 877 1.0
15 925 1.0
15 957 1.0
15 1010 1.0
16 38 1.0
16 39 1.0
16 84 1.0
16 125 1.0
16 197 1.0
16 213 1.0
16 215 1.0
16 288 1.0
16 290 1.0
16 322 1.0
16 435 1.0
16 438 1.0
16 454 1.0
16 539 1.0
16 564 1.0
16 848 1.0
16 894 1.0
17 22 1.0
17 31 1.0
17 37 1.0
17 110 1.0
17 118 1.0
17 222 1.0
17 253 1.0
17 260 1.0
17 287 1.0
17 343 1.0
17 427 1.0
17 509 1.0
17 844 1.0
17 959 1.0
17 983 1.0
17 1016 1.0
17 1023 1.0
18 39 1.0
18 40 1.0
18 79 1.0
18 89 1.0
18 195 1.0
18 245 1.0
18 317 1.0
18 361 1.0
18 390 1.0
18 451 1.0
18 578 1.0
18 586 1.0
18 608 1.0
18 720 1.0
18 729 1.0
18 790 1.0
18 799 1.0
18 826 1.0
18 904 1.0
18 938 1.0
19 211 1.0
19 318 1.0
19 429 1.0
19 503 1.0
19 584 1.0
19 669 1.0
19 732 1.0
19 972 1.0
19 1002 1.0
20 10 1.0
20 96 1.0
20 97 1.0
20 119 1.0
20 120 1.0
20 186 1.0
20 200 1.0
20 233 1.0
20 289 1.0
20 371 1.0
20 454 1.0
20 523 1.0
20 612 1.0
20 766 1.0
20 846 1.0
20 877 1.0
20 976 1.0
21 42 1.0
21 180 1.0
21 187 1.0
21 196 1.0
21 210 1.0
21 237 1.0
21 325 1.0
21 347 1.0
21 498 1.0
21 573 1.0
21 633 1.0
21 657 1.0
21 725 1.0
21 759 1.0
21 804 1.0
21 826 1.0
21 851 1.0
21 879 1.0
21 1012 1.0
22 17 1.0
22 83 1.0
22 99 1.0
22 233 1.0
22 253 1.0
22 289 1.0
22 298 1.0
22 342 1.0
22 343 1.0
22 368 1.0
22 445 1.0
22 562 1.0
22 567 1.0
22 598 1.0
22 614 1.0
22 629 1.0
22 630 1.0
22 806 1.0
22 816 1.0
22 876 1.0
22 930 1.0
23 250 1.0
23 295 1.0
23 373 1.0
23 407 1.0
23 480 1.0
23 500 1.0
23 654 1.0
23 676 1.0
23 987 1.0
24 98 1.0
24 155 1.0
24 222 1.0
24 313 1.0
24 358 1.0
24 405 1.0
24 465 1.0
24 505 1.0
24 560 1.0
24 631 1.0
24 693 1.0
24 822 1.0
24 850 1.0
24 857 1.0
24 900 1.0
24 911 1.0
25 131 1.0
25 174 1.0
25 216 1.0
25 419 1.0
25 516 1.0
25 771 1.0
25 787 1.0
25 788 1.0
25 841 1.0
25 888 1.0
25 943 1.0
25 954 1.0
25 980 1.0
25 985 1.0
25 1003 1.0
25 1009 1.0
26 3 1.0
26 79 1.0
26 103 1.0
26 127 1.0
26 147 1.0
26 243 1.0
26 274 1.0
26 281 1.0
26 343 1.0
26 421 1.0
26 458 1.0
26 612 1.0
26 648 1.0
26 715 1.0
26 752 1.0
26 803 1.0
26 865 1.0
26 899 1.0
26 938 1.0
26 996 1.0
27 65 1.0
27 99 1.0
27 115 1.0
27 247 1.0
27 289 1.0
27 397 1.0
27 453 1.0
27 621 1.0
27 679 1.0
27 682 1.0
27 783 1.0
28 196 1.0
28 198 1.0
28 303 1.0
28 304 1.0
28 331 1.0
28 527 1.0
28 667 1.0
28 733 1.0
28 792 1.0
29 85 1.0
29 113 1.0
29 130 1.0
29 181 1.0
29 361 1.0
29 459 1.0
29 578 1.0
29 613 1.0
29 761 1.0
29 785 1.0
29 901 1.0
29 916 1.0
29 967 1.0
29 988 1.0
29 1015 1.0
30 8 1.0
30 71 1.0
30 183 1.0
30 190 1.0
30 284 1.0
30 376 1.0
30 542 1.0
30 551 1.0
30 562 1.0
30 568 1.0
30 575 1.0
30 584 1.0
30 620 1.0
30 681 1.0
30 862 1.0
30 889 1.0
30 924 1.0
31 17 1.0
31 110 1.0
31 111 1.0
31 118 1.0
31 222 1.0
31 260 1.0
31 449 1.0
31 499 1.0
31 583 1.0
31 601 1.0
31 734 1.0
31 905 1.0
31 959 1.0
32 34 1.0
32 51 1.0
32 87 1.0
32 93 1.0
32 135 1.0
32 153 1.0
32 194 1.0
32 208 1.0
32 324 1.0
32 336 1.0
32 384 1.0
32 549 1.0
32 586 1.0
32 688 1.0
32 744 1.0
32 866 1.0
33 171 1.0
33 192 1.0
33 237 1.0
33 251 1.0
33 573 1.0
33 624 1.0
33 633 1.0
33 666 1.0
33 710 1.0
33 725 1.0
33 778 1.0
33 880 1.0
33 894 1.0
34 32 1.0
34 87 1.0
34 88 1.0
34 93 1.0
34 153 1.0
34 222 1.0
34 241 1.0
34 326 1.0
34 336 1.0
34 338 1.0
34 340 1.0
34 377 1.0
34 384 1.0
34 488 1.0
34 536 1.0
34 543 1.0
34 596 1.0
34 866 1.0
34 868 1.0
34 968 1.0
35 114 1.0
35 142 1.0
35 195 1.0
35 302 1.0
35 349 1.0
35 357 1.0
35 409 1.0
35 573 1.0
35 633 1.0
35 707 1.0
35 766 1.0
35 972 1.0
36 2 1.0
36 190 1.0
36 213 1.0
36 307 1.0
36 376 1.0
36 603 1.0
36 657 1.0
36 675 1.0
36 687 1.0
36 713 1.0
36 883 1.0
36 895 1.0
36 955 1.0
36 965 1.0
37 17 1.0
37 75 1.0
37 241 1.0
37 253 1.0
37 288 1.0
37 355 1.0
37 538 1.0
37 544 1.0
37 574 1.0
37 588 1.0
37 616 1.0
37 672 1.0
37 723 1.0
37 773 1.0
37 787 1.0
37 789 1.0
37 795 1.0
37 853 1.0
37 906 1.0
37 948 1.0
37 959 1.0
38 0 1.0
38 16 1.0
38 52 1.0
38 257 1.0
38 290 1.0
38 352 1.0
38 407 1.0
38 435 1.0
38 477 1.0
38 515 1.0
38 539 1.0
38 547 1.0
38 550 1.0
38 600 1.0
38 615 1.0
38 711 1.0
38 806 1.0
38 848 1.0
38 942 1.0
38 977 1.0
39 16 1.0
39 18 1.0
39 176 1.0
39 197 1.0
39 290 1.0
39 317 1.0
39 334 1.0
39 335 1.0
39 361 1.0
39 396 1.0
39 510 1.0
39 569 1.0
39 586 1.0
39 608 1.0
39 643 1.0
39 668 1.0
39 740 1.0
39 826 1.0
39 949 1.0
40 18 1.0
40 144 1.0
40 162 1.0
40 195 1.0
40 273 1.0
40 316 1.0
40 327 1.0
40 344 1.0
40 390 1.0
40 447 1.0
40 479 1.0
40 487 1.0
40 494 1.0
40 509 1.0
40 567 1.0
40 771 1.0
40 846 1.0
40 931 1.0
41 158 1.0
41 177 1.0
41 253 1.0
41 292 1.0
41 353 1.0
41 453 1.0
41 554 1.0
41 587 1.0
41 621 1.0
41 780 1.0
41 861 1.0
41 893 1.0
42 21 1.0
42 237 1.0
42 319 1.0
42 393 1.0
42 502 1.0
42 617 1.0
42 710 1.0
42 728 1.0
42 988 1.0
43 51 1.0
43 240 1.0
43 374 1.0
43 449 1.0
43 541 1.0
43 584 1.0
43 709 1.0
43 729 1.0
43 770 1.0
43 802 1.0
43 837 1.0
43 907 1.0
43 922 1.0
43 963 1.0
43 994 1.0
44 8 1.0
44 124 1.0
44 186 1.0
44 310 1.0
44 314 1.0
44 350 1.0
44 511 1.0
44 534 1.0
44 553 1.0
44 577 1.0
44 768 1.0
44 853 1.0
44 874 1.0
44 921 1.0
45 115 1.0
45 130 1.0
45 153 1.0
45 163 1.0
45 355 1.0
45 399 1.0
45 459 1.0
45 592 1.0
45 638 1.0
45 710 1.0
45 923 1.0
45 934 1.0
45 959 1.0
46 5 1.0
46 58 1.0
46 120 1.0
46 175 1.0
46 212 1.0
46 234 1.0
46 320 1.0
46 332 1.0
46 355 1.0
46 365 1.0
46 444 1.0
46 469 1.0
46 565 1.0
46 595 1.0
46 655 1.0
46 787 1.0
46 795 1.0
46 827 1.0
46 861 1.0
46 912 1.0
46 926 1.0
46 927 1.0
46 998 1.0
47 13 1.0
47 292 1.0
47 324 1.0
47 369 1.0
47 492 1.0
47 514 1.0
47 552 1.0
47 557 1.0
47 718 1.0
47 754 1.0
47 764 1.0
47 788 1.0
47 797 1.0
47 806 1.0
47 970 1.0
47 981 1.0
48 73 1.0
48 134 1.0
48 200 1.0
48 392 1.0
48 418 1.0
48 494 1.0
48 508 1.0
48 622 1.0
48 834 1.0
48 836 1.0
48 842 1.0
48 863 1.0
48 948 1.0
49 249 1.0
49 257 1.0
49 358 1.0
49 362 1.0
49 374 1.0
49 525 1.0
49 808 1.0
49 960 1.0
50 4 1.0
50 155 1.0
50 163 1.0
50 171 1.0
50 192 1.0
50 208 1.0
50 325 1.0
50 381 1.0
50 503 1.0
50 514 1.0
50 541 1.0
50 553 1.0
50 593 1.0
50 616 1.0
50 659 1.0
50 660 1.0
50 747 1.0
50 751 1.0
50 753 1.0
50 758 1.0
50 872 1.0
50 940 1.0
50 1001 1.0
50 1016 1.0
51 32 1.0
51 43 1.0
51 175 1.0
51 308 1.0
51 386 1.0
51 391 1.0
51 456 1.0
51 534 1.0
51 586 1.0
51 684 1.0
51 960 1.0
51 988 1.0
52 5 1.0
52 15 1.0
52 38 1.0
52 103 1.0
52 194 1.0
52 253 1.0
52 444 1.0
52 469 1.0
52 539 1.0
52 552 1.0
52 669 1.0
52 768 1.0
52 912 1.0
52 959 1.0
52 977 1.0
53 6 1.0
53 77 1.0
53 101 1.0
53 159 1.0
53 350 1.0
53 382 1.0
53 490 1.0
53 510 1.0
53 625 1.0
53 695 1.0
53 700 1.0
53 754 1.0
53 812 1.0
53 817 1.0
53 886 1.0
53 997 1.0
54 13 1.0
54 60 1.0
54 174 1.0
54 216 1.0
54 274 1.0
54 327 1.0
54 374 1.0
54 425 1.0
54 534 1.0
54 560 1.0
54 664 1.0
54 705 1.0
54 762 1.0
54 771 1.0
54 874 1.0
54 887 1.0
54 894 1.0
54 920 1.0
54 947 1.0
55 68 1.0
55 79 1.0
55 84 1.0
55 116 1.0
55 145 1.0
55 147 1.0
55 285 1.0
55 362 1.0
55 367 1.0
55 378 1.0
55 423 1.0
55 532 1.0
55 620 1.0
55 641 1.0
55 733 1.0
55 779 1.0
55 799 1.0
55 988 1.0
56 173 1.0
56 225 1.0
56 355 1.0
56 393 1.0
56 418 1.0
56 436 1.0
56 589 1.0
56 609 1.0
56 676 1.0
56 763 1.0
56 803 1.0
56 805 1.0
56 813 1.0
56 832 1.0
56 908 1.0
56 962 1.0
57 100 1.0
57 227 1.0
57 321 1.0
57 352 1.0
57 368 1.0
57 436 1.0
57 539 1.0
57 590 1.0
57 604 1.0
57 622 1.0
57 642 1.0
57 674 1.0
57 742 1.0
57 825 1.0
57 827 1.0
57 930 1.0
57 998 1.0
58 46 1.0
58 118 1.0
58 225 1.0
58 277 1.0
58 350 1.0
58 357 1.0
58 368 1.0
58 425 1.0
58 434 1.0
58 450 1.0
58 539 1.0
58 545 1.0
58 595 1.0
58 618 1.0
58 646 1.0
58 647 1.0
58 707 1.0
58 768 1.0
58 926 1.0
58 1016 1.0
59 283 1.0
59 287 1.0
59 410 1.0
59 416 1.0
59 433 1.0
59 563 1.0
59 653 1.0
59 738 1.0
59 770 1.0
59 884 1.0
59 918 1.0
59 1017 1.0
60 54 1.0
60 127 1.0
60 147 1.0
60 148 1.0
60 166 1.0
60 185 1.0
60 204 1.0
60 291 1.0
60 298 1.0
60 301 1.0
